Date,Double/Triple Header Num,Team,Team (Long),League,Team Game Number,Home / Away,Opponent,Opponent (Long),Opponent's League,Opponent's Game Number,Team Score,Opponent's Score,Win,Loss,Tie,Win / Loss Margin,Day / Night,Park ID,Attendance,Game Length (Minutes),At Bats,Hits,Doubles,Triples,Home Runs,RBI,Sacrifice Hits,Sacrifice Flies,Hit By Pitch,Walks,Intentional Walks,Strikeouts,Stolen Bases,Caught Stealing,Grounded into Double Plays,Awarded First on Catcher's Interference,Left on Base,Pitchers Used,Individual Earned Runs,Team Earned Runs,Wild Pitches,Balks,Putouts,Assists,Errors,Passed Balls,Double Plays,Triple Plays
4/11/12,0,Mariners,Seattle Mariners,American,7,Away,Rangers,Texas Rangers,American,6,4,3,1,0,0,1,N,ARL02,32342,200,36,11,5,1,0,4,0,1,0,0,0,10,1,0,1,0,6,4,3,3,1,0,27,8,0,0,0,0
4/11/12,0,Red Sox,Boston Red Sox,American,6,Away,Blue Jays,Toronto Blue Jays,American,6,1,3,0,1,0,-2,D,TOR02,25285,133,30,3,0,0,0,1,0,0,0,2,0,6,0,0,0,0,4,1,3,3,1,0,24,8,0,1,0,0
4/11/12,0,Brewers,Milwaukee Brewers,National,6,Away,Cubs,Chicago Cubs,National,6,2,1,1,0,0,1,D,CHI11,34044,179,30,5,1,0,1,2,1,0,0,4,0,11,1,0,1,0,6,3,1,1,0,0,27,11,0,0,1,0
4/11/12,0,Cardinals,St. Louis Cardinals,National,7,Away,Reds,Cincinnati Reds,National,6,3,4,0,1,0,-1,D,CIN09,20672,176,33,8,0,1,1,3,1,0,1,2,0,9,0,0,0,0,7,5,4,4,0,0,25,12,0,0,1,0
4/11/12,0,Giants,San Francisco Giants,National,5,Away,Rockies,Colorado Rockies,National,5,8,17,0,1,0,-9,N,DEN02,30337,223,37,12,3,0,3,8,0,1,0,4,0,3,1,0,1,0,7,6,13,13,3,0,24,15,3,0,1,0
4/11/12,0,Braves,Atlanta Braves,National,6,Away,Astros,Houston Astros,National,6,6,3,1,0,0,3,N,HOU03,18225,201,38,11,2,0,1,5,1,0,0,2,0,8,1,0,0,0,8,5,3,3,1,0,27,12,1,0,2,0
4/11/12,0,Pirates,Pittsburgh Pirates,National,5,Away,Dodgers,Los Angeles Dodgers,National,6,1,4,0,1,0,-3,N,LOS03,29729,167,32,6,1,0,1,1,0,0,0,0,0,8,0,0,0,0,4,5,4,4,0,1,24,10,1,0,0,0
4/11/12,0,Nationals,Washington Nationals,National,6,Away,Mets,New York Mets,National,6,4,0,1,0,0,4,D,NYC20,34614,216,34,9,1,0,0,3,0,0,1,10,0,10,1,1,0,0,14,4,0,0,1,0,27,4,1,0,0,0
4/11/12,0,Dodgers,Los Angeles Dodgers,National,6,Away,Phillies,Philadelphia Phillies,National,5,1,7,0,1,0,-6,N,PHI13,45359,167,32,5,2,0,0,1,0,0,0,1,0,3,0,0,0,0,5,3,7,7,0,0,24,8,1,0,0,0
4/11/12,0,Diamondbacks,Arizona Diamondbacks,National,5,Away,Padres,San Diego Padres,National,6,1,2,0,1,0,-1,D,SAN02,16091,178,32,5,0,1,0,1,0,0,0,7,0,10,1,0,0,0,11,2,2,2,0,0,24,10,0,0,1,0
4/12/12,0,Rays,Tampa Bay Rays,American,6,Away,Tigers,Detroit Tigers,American,6,2,7,0,1,0,-5,D,DET05,30288,203,33,7,2,0,1,2,0,0,2,5,1,9,0,0,0,0,11,5,7,7,1,0,24,8,0,0,0,0
4/12/12,0,Angels,Los Angeles Angels,American,6,Away,Twins,Minnesota Twins,American,6,9,10,0,1,0,-1,D,MIN04,31782,224,39,13,2,0,1,8,1,0,0,4,0,5,5,0,0,0,8,5,10,10,1,0,24,5,0,0,0,0
4/12/12,0,Mariners,Seattle Mariners,American,8,Away,Rangers,Texas Rangers,American,7,3,5,0,1,0,-2,D,ARL02,31513,153,35,7,3,0,1,3,0,0,0,0,0,9,0,0,0,0,5,2,5,5,0,0,24,8,0,0,0,0
4/12/12,0,Brewers,Milwaukee Brewers,National,7,Away,Cubs,Chicago Cubs,National,7,0,8,0,1,0,-8,D,CHI11,36311,167,30,3,0,0,0,0,0,0,0,2,0,9,0,0,1,0,5,3,8,8,1,0,24,9,1,0,3,0
4/12/12,0,Giants,San Francisco Giants,National,6,Away,Rockies,Colorado Rockies,National,6,4,2,1,0,0,2,D,DEN02,25860,200,37,8,2,0,0,4,0,0,1,1,0,7,0,0,0,0,8,4,2,2,0,0,27,15,0,0,1,0
4/12/12,0,Pirates,Pittsburgh Pirates,National,6,Away,Dodgers,Los Angeles Dodgers,National,7,2,3,0,1,0,-1,N,LOS03,28328,158,32,8,1,0,1,2,0,1,1,2,0,9,0,1,1,0,7,3,3,3,0,0,24,9,0,0,0,0
4/12/12,0,Dodgers,Los Angeles Dodgers,National,7,Away,Phillies,Philadelphia Phillies,National,6,1,3,0,1,0,-2,N,PHI13,44751,140,33,6,2,0,0,1,0,0,0,2,0,4,0,0,1,0,7,4,3,3,0,0,24,12,1,0,0,0
4/12/12,0,Diamondbacks,Arizona Diamondbacks,National,6,Away,Padres,San Diego Padres,National,7,3,1,1,0,0,2,N,SAN02,20858,182,32,6,3,0,1,3,0,0,0,4,0,8,0,1,1,0,6,4,1,1,0,0,27,8,0,0,0,0
4/12/12,0,Reds,Cincinnati Reds,National,7,Away,Nationals,Washington Nationals,National,7,2,3,0,1,0,-1,D,WAS11,40907,192,36,5,4,0,0,2,0,0,0,2,1,12,0,0,0,0,6,4,3,3,1,0,29,11,0,0,1,0
